,sequence,Complexity,gemini,eval-gemini_1,eval-gemini_2,eval-gemini_3,claude-3-5-sonnet,eval-claude-3-5-sonnet_1,eval-claude-3-5-sonnet_2,eval-claude-3-5-sonnet_3,chatgpt-4o,eval-chatgpt-4o_1,eval-chatgpt-4o_2,eval-chatgpt-4o_3,mistral,eval-mistral_1,eval-mistral_2,meta,eval-meta_1,eval-meta_2,o1_mini,eval-o1_mini_1,eval-o1_mini_2,cursor_small,eval-cursor_small_1,eval-cursor_small_2,eval-cursor_small_3,chatgpt-o1,eval-chatgpt-o1_1,eval-chatgpt-o1_2,grok,grok_1,grok_2,eval-grok_1,eval-grok_2,gemini-thinking,gemini-thinking_1,eval-gemini-thinking_1
38,"2, 1, 3, 4, 7, 11, 18, 29, 47, 76",2,[a(n) = Lucas[n]],"2, 1, 3, 4, 7, 11, 18, 29, 47, 76, 123, 199",,,"[Fn = Fn-1 + Fn-2, F1=2, F2=1]","2, 1, 3, 4, 7, 11, 18, 29, 47, 76, 123, 199",,,"[a(n-1) + a(n-2), a(n) = f(n) where f starts with 2, 1]","2, 1, 3, 4, 7, 11, 18, 29, 47, 76, 123, 199"," 2, 1, 3, 4, 7, 11, 18, 29, 47, 76, 123, 199",,"[2*F(n)-1, F(n+2)-F(n)-1]","1, 1, 2, 3, 5, 8, 13, 21, 34, 55, 89, 144"," 1, 1, 2, 3, 5, 8, 13, 21, 34, 55, 89, 144","[lambda n: fib(n+1) + fib(n-1) if n > 1 else 1], [lambda n: fib2(n) for fib2 in [lambda n: fib_aux(n, i) for i in range(100)]]","1, 2, 3, 5, 8, 13, 21, 34, 55, 89, 144, 233"," 1, 2, 3, 5, 8, 13, 21, 34, 55, 89, 144, 233",[f(n) = f(n-1) + f(n-2)],"1, 1, 2, 3, 5, 8, 13, 21, 34, 55, 89, 144",,[a(n) = a(n-1) + a(n-2) + 1],"1, 2, 4, 7, 12, 20, 33, 54, 88, 143, 232, 376",,,*not found,*not found,*not found,"[""[fib(i) if i % 2 else fib(i+1) for i in range(10)]"", ""a, b = 0, 1; [b if i % 2 else a for i in range(10) while (a, b) := (b, a + b)]""]",[fib(i) if i % 2 else fib(i+1) for i in range(10)],"a, b = 0, 1; [b if i % 2 else a for i in range(10) while (a, b) := (b, a + b)]","1, 1, 2, 2, 5, 5, 13, 13, 34, 34","0, 1, 1, 2, 3, 5, 8, 13, 21, 34","[""a_1 = 2, a_2 = 1, a_n = a_{n-1} + a_{n-2} for n > 2""]","a_1 = 2, a_2 = 1, a_n = a_{n-1} + a_{n-2} for n > 2","2, 1, 3, 4, 7, 11, 18, 29, 47, 76"
39,"0, 1, 2, 5, 12, 29, 70, 169, 408, 985",2,[a(n) = Pell[n]],"0, 1, 2, 5, 12, 29, 70, 169, 408, 985, 2378, 5741",,,"[Fn = 2Fn-1 + Fn-2 + 1, F1=0, F2=1]","0, 1, 3, 8, 19, 42, 89, 184, 377, 768, 1555, 3136",,,"[a(n) = a(n-1) + a(n-2), a(n) = b(n) where b satisfies b(n) = 3*b(n-2)]","1, 1, 2, 3, 5, 8, 13, 21, 34, 55, 89, 144"," 1, 1, 3, 3, 9, 9, 27, 27, 81, 81, 243, 243",,"[C(n), C(n-1)+C(n-2)+1]","1, 2, 4, 7, 12, 20, 33, 54, 88, 143, 232, 376"," 1, 2, 4, 7, 12, 20, 33, 54, 88, 143, 232, 376","[lambda n: fib(n+2) - fib(n) if n > 0 else 0], [lambda n: fib2(n+2) - fib2(n) for fib2 in [lambda n: fib_aux(n, i) for i in range(100)]]","1, 1, 2, 3, 5, 8, 13, 21, 34, 55, 89, 144"," 1, 1, 2, 3, 5, 8, 13, 21, 34, 55, 89, 144",[Pell(n)],"0, 1, 2, 5, 12, 29, 70, 169, 408, 985, 2378, 5741",,"[a(n) = a(n-1) + a(n-2) + 1, a(0) = 0, a(1) = 1]","0, 1, 2, 4, 7, 12, 20, 33, 54, 88, 143, 232",,,*not found,*not found,*not found,"[""[0] + [fib(i+2) for i in range(9)]"", ""a, b, c = 0, 1, 1; [a] + [c for _ in range(9) while (a, b, c) := (b, c, b+c+a)]""]",[0] + [fib(i+2) for i in range(9)],"a, b, c = 0, 1, 1; [a] + [c for _ in range(9) while (a, b, c) := (b, c, b+c+a)]","0, 1, 2, 3, 5, 8, 13, 21, 34, 55","0, 1, 1, 2, 4, 7, 13, 24, 44, 81","[""a_1 = 0, a_2 = 1, a_n = 2*a_{n-1} + a_{n-2} for n > 2""]","a_1 = 0, a_2 = 1, a_n = 2*a_{n-1} + a_{n-2} for n > 2","0, 1, 2, 5, 12, 29, 70, 169, 408, 985"
40,"1, 4, 27, 256, 3125, 46656, 823543, 16777216, 387420489, 10000000000",2,[a(n) = n^n],"1, 4, 27, 256, 3125, 46656, 823543, 16777216, 387420489, 10000000000, 285311670611, 8916100448256",,,[n^n],"1, 4, 27, 256, 3125, 46656, 823543, 16777216, 387420489, 10000000000, 285311670611, 8916100448256",,,"[n^n, a(n) = a(n-1)*n^(n-1)]","1, 4, 27, 256, 3125, 46656, 823543, 16777216, 387420489, 10000000000, 285311670611, 8916100448256"," 1, 4, 27, 256, 3125, 46656, 823543, 16777216, 387420489, 10000000000, 285311670611, 8916100448256",,"[n^n, (n+1)^(n+1)/(n+1)]","1, 4, 27, 256, 3125, 46656, 823543, 16777216, 387420489, 10000000000, 285311670611, 8916100448256"," 1, 4, 27, 256, 3125, 46656, 823543, 16777216, 387420489, 10000000000, 285311670611, 8916100448256",[lambda n: n**n],"1, 4, 27, 256, 3125, 46656, 823543, 16777216, 387420489, 10000000000, 285311670611, 8916100448256",,[n^n],"1, 4, 27, 256, 3125, 46656, 823543, 16777216, 387420489, 10000000000, 285311670611, 8916100448256",,[n^n],"1, 4, 27, 256, 3125, 46656, 823543, 16777216, 387420489, 10000000000, 285311670611, 8916100448256",,,"[""print([ii for i in range(1,11)])"",""print([pow(i,i) for i in range(1,11)])""]",*not found,"1, 4, 27, 256, 3125, 46656, 823543, 16777216, 387420489, 10000000000","[""[i**i for i in range(1, 11)]"", ""[pow(i, i) for i in range(1, 11)]""]","[i**i for i in range(1, 11)]","[pow(i, i) for i in range(1, 11)]","1, 4, 27, 256, 3125, 46656, 823543, 16777216, 387420489, 10000000000","1, 4, 27, 256, 3125, 46656, 823543, 16777216, 387420489, 10000000000","[""a_n = n^n, for n >= 1""]","a_n = n^n, for n >= 1","1, 4, 27, 256, 3125, 46656, 823543, 16777216, 387420489, 10000000000"
41,"1, 2, 6, 20, 70, 252, 924, 3432, 12870, 48620",2,"[a(n) = n-th central binomial coefficient, a(n) = (2n)!/(n!)^2]","1, 2, 6, 20, 70, 252, 924, 3432, 12870, 48620, 184756, 705432",,,[n!/(n-2)!],"2, 6, 24, 120, 720, 5040, 40320, 362880, 3628800, 39916800, 479001600, 6227020800",,,"[binomial(2n, n), a(n) = a(n-1)*(4*n-2)/(n+1)]","2, 6, 20, 70, 252, 924, 3432, 12870, 48620, 184756, 705432, 2704156"," 2, 6, 20, 70, 252, 924, 3432, 12870, 48620, 184756, 705432, 2704156",,"[C(2*n,n), C(2*n,n)]","2, 6, 20, 70, 252, 924, 3432, 12870, 48620, 184756, 705432, 2704156"," 2, 6, 20, 70, 252, 924, 3432, 12870, 48620, 184756, 705432, 2704156","[lambda n: comb(n+2, 2)], [lambda n: (n+2)*(n+1)//2]","3, 6, 10, 15, 21, 28, 36, 45, 55, 66, 78, 91"," 3, 6, 10, 15, 21, 28, 36, 45, 55, 66, 78, 91","[binomial(2n, n)]","2, 6, 20, 70, 252, 924, 3432, 12870, 48620, 184756, 705432, 2704156",,"[binomial(n, 2)]","0, 1, 3, 6, 10, 15, 21, 28, 36, 45, 55, 66",,,"[""from math import comb;print([comb(2i,i) for i in range(1,11)])"",""import math;print([math.comb(2i,i)for i in range(1,11)])""]",*not found,*not found,"[""[math.comb(2*n, n) for n in range(10)]"", ""def comb(n, k): if 0 <= k <= n: return math.factorial(n) // (math.factorial(k) * math.factorial(n - k)); [comb(2*n, n) for n in range(10)]""]","[math.comb(2*n, n) for n in range(10)]","def comb(n, k): if 0 <= k <= n: return math.factorial(n) // (math.factorial(k) * math.factorial(n - k)); [comb(2*n, n) for n in range(10)]","1, 2, 6, 20, 70, 252, 924, 3432, 12870, 48620","1, 2, 6, 20, 70, 252, 924, 3432, 12870, 48620","[""a_n = C(2n, n) / (n+1), where C is the binomial coefficient""]","a_n = C(2n, n) / (n+1), where C is the binomial coefficient","1, 2, 5, 14, 42, 132, 429, 1430, 4862, 16796"
42,"2, 3, 5, 7, 11, 13, 17, 19, 23, 29",2,"[a(n) = nth prime number, a(n) = Prime[n]]","2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37"," 2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37",,[prime numbers starting from 2],"2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37",,,"[prime(n), 2*n-1]","2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37"," 1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23",,"[2*n, 2*(n+1)]","2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24"," 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26","[lambda n: nth_prime(n+1) for nth_prime in [lambda n: nth_prime_aux(n, i) for i in range(100)]], [lambda n: prime(n) for prime in [lambda n: prime_aux(n, i) for i in range(100)]]","2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37"," 2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37",[prime(n)],"2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37",,[prime(n)],"2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37",,,"[""print([2,3,5,7,11,13,17,19,23,29])"",""print([p for p in [2,3,5,7,11,13,17,19,23,29]])""]","2,3,5,7,11,13,17,19,23,29","2, 3, 5, 7, 11, 13, 17, 19, 23, 29","[""[i for i in [2, 3, 5, 7, 11, 13, 17, 19, 23, 29]]"", ""def prime(n): for i in range(2, int(n**0.5) + 1): if n % i == 0: return False; return True if n > 1 else False; [i for i in range(2, 30) if prime(i)]""]","[i for i in [2, 3, 5, 7, 11, 13, 17, 19, 23, 29]]","def prime(n): for i in range(2, int(n**0.5) + 1): if n % i == 0: return False; return True if n > 1 else False; [i for i in range(2, 30) if prime(i)]","2, 3, 5, 7, 11, 13, 17, 19, 23, 29","2, 3, 5, 7, 11, 13, 17, 19, 23, 29","[""a_n is the n-th prime number, for n >= 1""]","a_n is the n-th prime number, for n >= 1","2, 3, 5, 7, 11, 13, 17, 19, 23, 29"
43,"4, 6, 9, 10, 14, 15, 21, 22, 25, 26",2,"[a(n) = Prime[n] if n is odd, Prime[n-1] if n is even]","2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37"," 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37, 41",,*not found,*not found,,,"[composite(n), a(n) = a(n-1) + composite increment]","4, 6, 8, 9, 10, 12, 14, 15, 16, 18, 20, 21"," 4, 6, 8, 9, 10, 12, 14, 15, 16, 18, 20, 21",,"[n+4, n+5]","5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16"," 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",*not found,*not found,,[composite(n)],"4, 6, 8, 9, 10, 12, 14, 15, 16, 18, 20, 21",,[n^2 - n + 2],"2, 4, 8, 14, 22, 32, 44, 58, 74, 92, 112, 134",,,*not found,*not found,*not found,"[""[i for i in [4, 6, 9, 10, 14, 15, 21, 22, 25, 26]]"", ""*not found*""]","[i for i in [4, 6, 9, 10, 14, 15, 21, 22, 25, 26]]",*not found*,"4, 6, 9, 10, 14, 15, 21, 22, 25, 26",*not found*,*not found*,*not found,*not found
44,"1, 10, 11, 100, 101, 110, 111, 1000, 1001, 1010",2,[a(n) = n written in binary],"1, 10, 11, 100, 101, 110, 111, 1000, 1001, 1010, 1011, 1100",,,*not found,*not found,,,"[binary sequence, a(n) = a(n-1)*10 + binary add]","1, 10, 11, 100, 101, 110, 111, 1000, 1001, 1010, 1011, 1100"," 1, 10, 11, 100, 101, 110, 111, 1000, 1001, 1010, 1011, 1100",,"[2^n-1, 2*(2^(n-1))-1]","1, 3, 7, 15, 31, 63, 127, 255, 511, 1023, 2047, 4095"," 3, 7, 15, 31, 63, 127, 255, 511, 1023, 2047, 4095, 8191","[lambda n: int(bin(n)[2:])], [lambda n: int(bin(n)[2:], 2)]","1, 10, 11, 100, 101, 110, 111, 1000, 1001, 1010, 1011, 1100"," 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","[Numbers with digits {0,1}]","1, 10, 11, 100, 101, 110, 111, 1000, 1001, 1010, 1011, 1100",,[2^n],"2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048, 4096",,,"[""print([1,10,11,100,101,110,111,1000,1001,1010])"",""l=[x for x in range(1,2000)if all(c in'01'for c in str(x))];print(l[:10])""]","1,10,11,100,101,110,111,1000,1001,1010","1, 10, 11, 100, 101, 110, 111, 1000, 1001, 1010","[""[int(bin(i)[2:]) for i in range(1, 11)]"", ""*not found*""]","[int(bin(i)[2:]) for i in range(1, 11)]",*not found*,"1, 10, 11, 100, 101, 110, 111, 1000, 1001, 1010",*not found*,"[""Representation of n in binary""]",Representation of n in binary,"1, 10, 11, 100, 101, 110, 111, 1000, 1001, 1010"
45,"0, 1, 81, 512, 2401, 4913, 5832, 17576, 19683, 234256",2,*not found,*not found,,,*not found,*not found,,,"[a(n) = n^n + f(n) where f adjusts deviations, a(n) = brute-force polynomial]","1, 4, 27, 256, 3125, 46656, 823543, 16777216, 387420489, 10000000000, 285311670611, 8916100448256"," 1, 4, 27, 256, 3125, 46656, 823543, 16777216, 387420489, 10000000000, 285311670611, 8916100448256",,"[n^2+1, (n+1)^2]","2, 5, 10, 17, 26, 37, 50, 65, 82, 101, 122, 145"," 2, 5, 10, 17, 26, 37, 50, 65, 82, 101, 122, 145","[lambda n: (n+1)4 - n4], [lambda n: ((n+1)**2)2 - n4]","4, 12, 32, 80, 192, 448, 1024, 2304, 5120, 11264, 24576, 53248"," 4, 12, 32, 80, 192, 448, 1024, 2304, 5120, 11264, 24576, 53248",*not found*,*not found*,,[n^3],"1, 8, 27, 64, 125, 216, 343, 512, 729, 1000, 1331, 1728",,,*not found,*not found,*not found,"[""[0] + [i**i for i in range(2, 11)]"", ""*not found*""]","[0] + [i**i for i in range(2, 11)]",*not found*,"0, 4, 27, 256, 3125, 46656, 823543, 16777216, 387420489, 10000000000",*not found*,"[""a_n = n^(n+2), for n >= 0""]","a_n = n^(n+2), for n >= 0","1, 64, 729, 4096, 78125, 531441, 11764900, 1000000000, 61310662576, 25937424601"
46,"1, 2, 145, 40585",2,"[a(n) = a(n-1)^2 + a(n-2), a(0)=1, a(1)=2]","1, 2, 5, 29, 866, 75025, 1120149658760, 12586269025, 7540113804746346429, 354224848179261915075, 1066340417491710595814572169, 19134702400093278081449423917",,,[145 is the only known number in this sequence between 2 and 40585],145,,,"[factorion sequence, a(n) = sum(factorial(digit(n)))]","1, 2, 145, 40585, 0, 0, 0, 0, 0, 0, 0, 0"," 1, 2, 145, 40585, 0, 0, 0, 0, 0, 0, 0, 0",,"[n^4, (n+1)^4-4*n^3-6*n^2-4*n-1]","1, 16, 81, 256, 625, 1296, 2401, 4096, 6561, 10000, 14641, 20736"," 1, 16, 81, 256, 625, 1296, 2401, 4096, 6561, 10000, 14641, 20736",[lambda n: (n+1)! - n!],"1, 1, 2, 6, 24, 120, 720, 5040, 40320, 362880, 3628800, 39916800",,[Factorion(n)],"1, 2, 145, 40585, 0, 0, 0, 0, 0, 0, 0, 0",,[n! = 1 + 2 + 145 + 40585],"1, 2, 145, 40585, 1, 2, 145, 40585, 1, 2, 145, 40585",,,"[""print([1,2,145,40585])"",""def sf(x):import math;return sum(math.factorial(int(d))for d in str(x));print([n for n in[1,2,145,40585]if sf(n)==n])""]","1,2,145,40585","145, 40585","[""[1, 2, 145, 40585]"", ""*not found*""]","[1, 2, 145, 40585]",*not found*,"1, 2, 145, 40585",*not found*,*not found*,*not found,*not found
47,"2, 5, 12, 20, 29, 39, 50, 62, 75, 89",2,[a(n) = n^2 + 1],"2, 5, 10, 17, 26, 37, 50, 65, 82, 101, 122, 145",,,[n^2 + 1],"2, 5, 10, 17, 26, 37, 50, 65, 82, 101, 122, 145",,,"[2 + 3n + corrections, a(n) = a(n-1) + linear differences]","5, 8, 11, 14, 17, 20, 23, 26, 29, 32, 35, 38"," 5, 8, 11, 14, 17, 20, 23, 26, 29, 32, 35, 38",,"[F(n+2), F(n)+F(n+1)]","1, 1, 2, 3, 5, 8, 13, 21, 34, 55, 89, 144"," 1, 1, 2, 3, 5, 8, 13, 21, 34, 55, 89, 144","[lambda n: n*2 + 1], [lambda n: nn + 1]","3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25"," 2, 5, 10, 17, 26, 37, 50, 65, 82, 101, 122, 145",*not found*,*not found*,,[n^2 - n + 2],"2, 4, 8, 14, 22, 32, 44, 58, 74, 92, 112, 134",,,*not found,*not found,*not found,"[""[n*(n+1)//2 + 2 for n in range(10)]"", ""*not found*""]",[n*(n+1)//2 + 2 for n in range(10)],*not found*,"2, 3, 5, 8, 12, 17, 23, 30, 38, 47",*not found*,"[""a_1 = 2, a_n = a_{n-1} + n + 1""]","a_1 = 2, a_n = a_{n-1} + n + 1","2, 5, 9, 14, 20, 27, 35, 44, 54, 65"
48,"1, 8, 10, 18, 19, 100, 101, 108, 109, 110",2,[a(n) = n in base 10 concatenated with n in base 8],"1, 12, 23, 34, 45, 56, 67, 78, 89, 910, 1011, 1112",,,*not found,*not found,,,"[binary embedded, a(n) = binary pattern mappings]","1, 10, 11, 100, 101, 110, 111, 1000, 1001, 1010, 1011, 1100"," 1, 10, 11, 100, 101, 110, 111, 1000, 1001, 1010, 1011, 1100",,"[n*(n+1)/2, n*(n+1)/2]","1, 3, 6, 10, 15, 21, 28, 36, 45, 55, 66, 78"," 1, 3, 6, 10, 15, 21, 28, 36, 45, 55, 66, 78","[lambda n: 100n + digit_sum(n)], [lambda n: 100n + sum(int(digit) for digit in str(n))]","101, 201, 301, 401, 501, 601, 701, 801, 901, 1001, 1101, 1201"," 101, 201, 301, 401, 501, 601, 701, 801, 901, 1001, 1101, 1201",*not found*,*not found*,,[2^n - 2],"0, 2, 6, 14, 30, 62, 126, 254, 510, 1022, 2046, 4094",,,*not found,*not found,*not found,"[""[int(\""10\""*(i+1), 2) for i in range(10)]"", ""*not found*""]","[int(""10""*(i+1), 2) for i in range(10)]",*not found*,"2, 10, 42, 170, 682, 2730, 10922, 43690, 174762, 699050",*not found*,"[""*no found""]",*no found,*no found
49,"3, 7, 31, 127, 2047, 8191, 131071, 524287, 8388607, 536870911",2,"[a(n) = Mersenne primes, a(n) = 2^Prime[n] - 1]","3, 7, 31, 127, 2047, 8191, 131071, 524287, 8388607, 536870911, 2147483647, 137438953471"," 3, 7, 31, 127, 2047, 8191, 131071, 524287, 8388607, 536870911, 2147483647, 137438953471",,[2^n - 1 where n is prime],"3, 7, 31, 127, 2047, 8191, 131071, 524287, 8388607, 536870911, 2147483647, 137438953471",,,"[Mersenne primes, a(n) = 2^p - 1 where p is prime]","3, 7, 31, 127, 2047, 8191, 131071, 524287, 8388607, 536870911, 2147483647, 137438953471",,,"[2^n-1, 2*(2^(n-1))-1]","1, 3, 7, 15, 31, 63, 127, 255, 511, 1023, 2047, 4095"," 3, 7, 15, 31, 63, 127, 255, 511, 1023, 2047, 4095, 8191","[lambda n: 2**(2n - 1) - 1], [lambda n: (2(2**n)) - 1]","3, 15, 63, 255, 1023, 4095, 16383, 65535, 262143, 1048575, 4194303, 16777215"," 3, 15, 63, 255, 1023, 4095, 16383, 65535, 262143, 1048575, 4194303, 16777215",[Mersenne prime: 2^{p} -1],"3, 7, 31, 127, 8191, 131071, 524287, 2147483647, 0, 0, 0, 0",,[2^n - 1],"1, 3, 7, 15, 31, 63, 127, 255, 511, 1023, 2047, 4095",,,"[""print([2p-1 for p in[2,3,5,7,11,13,17,19,23,29]])"",""exps=[2,3,5,7,11,13,17,19,23,29];print([2e-1 for e in exps])""]","3,5,9,13,21,25,33,37,45,57","3, 7, 31, 127, 2047, 8191, 131071, 524287, 8388607, 536870911","[""[2**i - 1 for i in range(1, 11)]"", ""def mersenne(i): return 2**i - 1; [mersenne(i) for i in range(1, 11)]""]","[2**i - 1 for i in range(1, 11)]","def mersenne(i): return 2**i - 1; [mersenne(i) for i in range(1, 11)]","1, 3, 7, 15, 31, 63, 127, 255, 511, 1023","3, 7, 15, 31, 63, 127, 255, 511, 1023, 2047","[""a_n = 2^(p_n) - 1, where p_n is the n-th prime number""]","a_n = 2^(p_n) - 1, where p_n is the n-th prime number","3, 7, 31, 127, 2047, 8191, 131071, 524287, 8388607, 536870911"
50,"1, 2, 4, 8, 16, 23, 28, 38, 58, 89",2,*not found,*not found,,,*not found,*not found,,,"[a(n) = Fibonacci-like with offsets, a(n) = b(n-1) + c(n-2)]","1, 1, 2, 3, 5, 8, 13, 21, 34, 55, 89, 144",,,"[2^n-1, 2*(2^(n-1))-1]","1, 3, 7, 15, 31, 63, 127, 255, 511, 1023, 2047, 4095"," 3, 7, 15, 31, 63, 127, 255, 511, 1023, 2047, 4095, 8191","[lambda n: fib(n+3) + fib(n+1) if n > 0 else 1], [lambda n: fib2(n+3) + fib2(n+1) for fib2 in [lambda n: fib_aux(n, i) for i in range(100)]]","2, 4, 7, 12, 20, 33, 54, 88, 143, 232, 376, 609"," 2, 4, 7, 12, 20, 33, 54, 88, 143, 232, 376, 609",*not found*,*not found*,,[n^2],"1, 4, 9, 16, 25, 36, 49, 64, 81, 100, 121, 144",,,*not found,*not found,*not found,"[""[2**i if i < 5 else 2**i + 3*i - 6 for i in range(10)]"", ""*not found*""]",[2**i if i < 5 else 2**i + 3*i - 6 for i in range(10)],*not found*,"1, 2, 4, 8, 16, 41, 76, 143, 274, 533",*not found*,*not found*,*not found,*not found
51,"1, 2, 4, 8, 15, 26, 42, 64, 93, 129",2,*not found,*not found,,,*not found,*not found,,,"[a(n) = recursive differences on non-linear Fibonacci, brute force model]","1, 1, 2, 3, 5, 8, 13, 21, 34, 55, 89, 144",,,"[2^n-1, 2*(2^(n-1))-1]","1, 3, 7, 15, 31, 63, 127, 255, 511, 1023, 2047, 4095"," 3, 7, 15, 31, 63, 127, 255, 511, 1023, 2047, 4095, 8191","[lambda n: fib(n+4) - fib(n+2) if n > 1 else 2], [lambda n: fib2(n+4) - fib2(n+2) for fib2 in [lambda n: fib_aux(n, i) for i in range(100)]]","2, 3, 5, 8, 13, 21, 34, 55, 89, 144, 233, 377"," 2, 3, 5, 8, 13, 21, 34, 55, 89, 144, 233, 377",*not found*,*not found*,,[n^2 - n + 1],"0, 2, 6, 12, 20, 30, 42, 56, 72, 90, 110, 132",,,*not found,*not found,*not found,"[""[i**2 // 2 if i % 2 else i**2 // 2 + 1 for i in range(1, 11)]"", ""*not found*""]","[i**2 // 2 if i % 2 else i**2 // 2 + 1 for i in range(1, 11)]",*not found*,"0, 3, 4, 9, 12, 19, 24, 33, 40, 51",*not found*,*not found*,*not found,*not found
52,"1, 5, 12, 22, 35, 51, 70, 92, 117, 145",2,[a(n) = 3n^2 - 3n + 1],"1, 4, 10, 19, 31, 46, 64, 85, 109, 136, 166, 199",,,[n^3 - n^2 + 1],"1, 7, 19, 37, 61, 91, 127, 169, 217, 271, 331, 397",,,"[quadratic-like sums, a(n) = n(n+1)/2 with corrections]","1, 3, 6, 10, 15, 21, 28, 36, 45, 55, 66, 78",,,"[2^n-1, 2*(2^(n-1))-1]","1, 3, 7, 15, 31, 63, 127, 255, 511, 1023, 2047, 4095"," 3, 7, 15, 31, 63, 127, 255, 511, 1023, 2047, 4095, 8191","[lambda n: n*(n+1)(n+2)(n+3)//24], [lambda n: comb(n+3, 3)]","1, 4, 10, 20, 35, 56, 84, 120, 165, 220, 286, 364"," 1, 4, 10, 20, 35, 56, 84, 120, 165, 220, 286, 364",[(3n^2 -n)/2],"1, 5, 12, 22, 35, 51, 70, 92, 117, 145, 176, 210",,[n(n + 1)/2],"1, 3, 6, 10, 15, 21, 28, 36, 45, 55, 66, 78",,,*not found,*not found,*not found,"[""[i*(i+1)//2 + (i-1) for i in range(1, 11)]"", ""*not found*""]","[i*(i+1)//2 + (i-1) for i in range(1, 11)]",*not found*,"1, 4, 8, 13, 19, 26, 34, 43, 53, 64",*not found*,"[""a_n = a_{n-1} + 3n - 2, a_1 = 1""]","a_n = a_{n-1} + 3n - 2, a_1 = 1","2, 3, 5, 7, 11, 13, 17, 19, 23, 29"
53,"0, 1, 1, 2, 1, 2, 2, 3, 1, 3",2,"[a(n) = Fibonacci string sequence, a(1)=0, a(2)=1, a(n) = a(n-1)a(n-2)]","0, 1, 01, 010, 01001, 01001001, 0100100101001, 010010010100101001001, 0100100101001010010010100100101001, 0100100101001010010010100100101001010010010100100101, 0100100101001010010010100100101001010010010100100101010010010100100101001, 0100100101001010010010100100101001010010010100100101010010010100100101001010010010100100101001010010010100100101",,,[look-and-say sequence in binary],"1, 10, 11, 100, 101, 110, 111, 1000, 1001, 1010, 1011, 1100",,,"[a(n) = periodic sequence, mod-matching]","1, 2, 3, 1, 2, 3, 1, 2, 3, 1, 2, 3",,,"[2^n-1, 2*(2^(n-1))-1]","1, 3, 7, 15, 31, 63, 127, 255, 511, 1023, 2047, 4095"," 3, 7, 15, 31, 63, 127, 255, 511, 1023, 2047, 4095, 8191","[lambda n: sum(euler_totient(k) for k in range(1, n+1))], [lambda n: sum(phi(k) for k in range(1, n+1))]","1, 2, 4, 6, 10, 12, 18, 22, 30, 34, 46, 52"," 1, 2, 4, 6, 10, 12, 18, 22, 30, 34, 46, 52",*not found*,*not found*,,[sequence of Fibonacci numbers],"1, 1, 2, 3, 5, 8, 13, 21, 34, 55, 89, 144",,,*not found,*not found,*not found,"[""[0, 1, 1, 2, 1, 2, 2, 3, 1, 3]"", ""*not found*""]","[0, 1, 1, 2, 1, 2, 2, 3, 1, 3]",*not found*,"0, 1, 1, 2, 1, 2, 2, 3, 1, 3",*not found*,*not found*,*not found,*not found
54,"1, 2, 5, 15, 52, 203, 877, 4140, 21147, 115975",2,"[a(n) = a(n-1) + a(n-2) + a(n-3), a(0)=1, a(1)=2, a(2)=5]","1, 2, 5, 8, 15, 28, 51, 94, 173, 318, 585, 1078",,,"[Fn = 4Fn-1 - Fn-2, F1=1, F2=2]","1, 2, 7, 26, 97, 362, 1351, 5042, 18817, 70226, 262087, 978122",,,"[Catalan numbers, a(n) = (2n)!/(n!*(n+1)!) or recursive expansion]","1, 1, 2, 5, 14, 42, 132, 429, 1430, 4862, 16796, 58786",,,"[2^n-1, 2*(2^(n-1))-1]","1, 3, 7, 15, 31, 63, 127, 255, 511, 1023, 2047, 4095"," 3, 7, 15, 31, 63, 127, 255, 511, 1023, 2047, 4095, 8191","[lambda n: catalan(n)], [lambda n: binom(2*n, n) // (n+1)]","1, 1, 2, 5, 14, 42, 132, 429, 1430, 4862, 16796, 58786"," 1, 1, 2, 5, 14, 42, 132, 429, 1430, 4862, 16796, 58786",[Bell(n)],"1, 1, 2, 5, 15, 52, 203, 877, 4140, 21147, 115975, 678570",,"[1, 2, 5, 15, 52, 203, 877, 4140, 21147, 115975]","1, 2, 5, 15, 52, 203, 877, 4140, 21147, 115975, 678570, 4213597",,,*not found,*not found,*not found,"[""[catalan(i) for i in range(10)]"", ""*not found*""]",[catalan(i) for i in range(10)],*not found*,"1, 1, 2, 5, 14, 42, 132, 429, 1430, 4862",*not found*,*not found*,*not found,*not found
