sequence,Complexity,grok_4.1,gpt-5.2,claude-4.5,gemini-3-pro,mistral-large-3,grok_4.1_1,gpt-5.2_1,gpt-5.2_2,claude-4.5_1,claude-4.5_2,claude-4.5_3,gemini-3-pro_1,mistral-large-3_1,grok_4.1_1_eval,gpt-5.2_1_eval,gpt-5.2_2_eval,claude-4.5_1_eval,claude-4.5_2_eval,claude-4.5_3_eval,gemini-3-pro_1_eval,mistral-large-3_1_eval
"8, 11, 12, 103, 116, 196, 247, 254, 389, 427",3,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found
"12, 36, 96, 119, 171, 213, 221, 232, 363, 451",3,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found
"38, 91, 142, 197, 215, 313, 316, 319, 423, 466",3,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found
"7, 42, 147, 201, 213, 248, 310, 332, 436, 479",3,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found
"27, 101, 105, 164, 245, 290, 304, 441, 449, 490",3,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found
"4, 11, 29, 106, 214, 283, 296, 298, 360, 497",3,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found
"72, 106, 139, 165, 171, 192, 199, 429, 453, 477",3,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found
"187, 218, 260, 295, 301, 314, 379, 410, 452, 469",3,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found
"29, 63, 95, 140, 150, 190, 221, 437, 482, 491",3,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found
"3, 11, 84, 144, 156, 177, 188, 199, 229, 284",3,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found
"26, 94, 98, 137, 176, 301, 323, 330, 372, 444",3,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found
"39, 81, 88, 210, 215, 378, 416, 430, 439, 490",3,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found
